statement,emotion
 Oh   she bleated  her voice high and rather indignant  ,anger
Going to finish watching TUF then off for my 5k jog ands fucking freezing out  ,joy
Love that he cant even talk to me Even though hes the one in the wrong ,sadness
mr mayo makes my cream o casserole craving so satiated  ,joy
MannyDelvalle thats cuz you famous bro once that happens every girl wants your dick but not for love just so they can brag ,sadness
 Yes  ,neutral
The media excitement about Enid Blyton and Captain W E Johns soon died away  ,joy
Losing my hubby to a week in   What do I get screaming kids and Christmas to finish sorting ,joy
Never thought chapel could give me nightmares but it just may tonight   paranormalhappenings,fear
Thank you Lord for helping me find in life Thank you for opening my eyes so I can see your transformation on others lives blessed,joy
He was concerned that parents would want to see their children doing  real  maths  and advised injecting investigations into the existing syllabus instead  ,fear
The King was bluntly informing him that he was ill pleased at the lack of progress Corbett was making  ,joy
Sale al myl birkin hermes bagsick of it almost all people wear it with proud suffer 4 societywhile so many children suffer 4 hunger ,anger
 But what  You always act like this  when you face difficulties  ,anger
 You often like comparing children with their parents  ,neutral
When I saw my brother in Church and publically accept Jesus Christ as his saviour and Lord,joy
Omg the loveseat in the living room is cleaned off I cant remember the last time i sat on it ,joy
In tears with  Why the fuck do i let this shit get to me,anger
Why is it thatLots mij wakker maakt als ik laat les heb 1 om te gan eten den ander voor de trn of om zegn dak op FS ingelogd ben ,joy
still cant believe this guy i used to talk to is gonna have a baby ,disgust
Happy is spending Saturday at the mall with your favourite aunt shopping and eating lobster and oysters ,joy
r u performing ur show tomorrow Where Give me information  ,sadness
One mistake in a hall full of eager Askean wannabes amp next you know an 11yr old has grassed to their parent who appeals for a retest ,joy
His griefstricken widow destroyed all his cricket clothes and equipment  ,sadness
Do you like flowers  ,joy
trip somewhere tomorrow when I get home,surprise
RussellBurn SUPER great ending to the day  ,surprise
Its Sunday  Seems a good day to pour my heart out in an email to someone who might not be expecting it   ,surprise
The thought of walking to school in that wind tomorrow sarcasm,joy
Im not big on flying RT bocalegend Sky 12 Wasnt that called quotSuzannes Air Forcequot at one time,fear
Too much  it seemed to me  was made of Tom s grief  his courtship of Araminta was forwardlooking  and deep grief needs roots in the past  ,sadness
Soo TrueRT RevRunWisdom not afraid of tomorrow for I have seen yesterday and I love today less,fear
 Zara its not looking good amp yes shes pointing the finger at the project manager ,surprise
Were ALL afraid of something herebc u aint human wo ,fear
  is short live it  is rare grab it is bad dump it Fear is awful face it Memories are sweet cherish them,anger
Big announcement coming up regarding the iQ and Cineplex Stay tuned Youll never be able to guess what it is ScionEvolution ,surprise
GloriaEstefan Hey Lovely can u give us all a clue Xx,surprise
 You  re right  ,neutral
pretty good mood for a tuesday night ,surprise
What You Dont Know Expect The Unexpected,fear
Thanks for all your lovely messages  we will announce todays winner tomorrow Have a JOY filled evening x,joy
If mac miller fucking quotremixesquot another eminem song I will die You sir have forever ruined a classic  ,anger
of losing the people I love,fear
Dudes cant even appreciate having a girl without tryna be thirsty and talk to other girls on the side ,sadness
Had no idea it was going to snow today  ,surprise
Cold night and tomorrows high is 32  ,joy
La gente de PR se va pq los party son una mierda YucyJuice krislizardi PeteJavier carlitos,joy
Keep looking at my phone waiting a txt even tho i know I wont get one ,sadness
Somebodys 22 year old son was killed this morning ,sadness
Bringing my computer to the computer doctor  Hopefully I can take it home tonight  ,sadness
I found a problem in homework which would not get solved although I tried my best,fear
I felt anger when I had a fight with my father and he beated me My mother came to help me because I was beeing beated and he also beated my mother,anger
laughter had great time at kids party gave me energy to prepare to fly to Southampton  big presentation,joy
Lootje maken voor vanavond met Hanneke Marc en Mama,surprise
The old man answered my knock and his big face split into a delighted grin when he saw me  ,joy
The office is on Buble countdown hes gonna be singing live on Radio 1 ,joy
 The seats in the middle of this stadium are great  but theyre already occupied by somebody else  ,joy
When I was selected for higher education ie grade 7 to formI,joy
I hate to disappoint anyone but that was nt the case  although the veiled hints caused us plenty of amusement  ,joy
Mon prof dsvt est flippant ,fear
 Everyone seemed very pleased with the arrangements Philippe had made  did nt they  Rose   ,joy
Im at Burton Street Craft Fair Sheffield Its indoor and I can lean on a radiator but its got christmas music playing humbug,joy
and loathing my man fear and loathing Hunter S Thompson AlwaysFollowBack,fear
 Yes  he was  Im not imagining itFinally  just when I got home  I turned around and looked at himHe was just standing there  He didnt smile  He just stood there  It was so obviousWhat should I do  Im so scared  Can I call the police  ,fear
Richmond councillors are worried about plans to turn the old cinema on the Ryders WyndQueens Road junction into a DIY shop  ,fear
blairbernhardt it sucksssss guess Im getting coal from her for christmas ,joy
 SheQuotesNow quotIf pure uplifting inspirational is your guide your heart will open amp smilequot  PsychicRegistry,joy
Had sooo much fun working tonight Catching people stealing and watching mall fights ,joy
I really really really wanna listen to  but I dont have them on my phone yet c ,sadness
Siktouch hahahaha much as I would LOVE to I have meetings pretty much all day ,sadness
I felt a great joy when I knew that my father was going to sell the apartment from GUARUSA because in some way we were helded by it that means that we didnt go to any other place because we had the apartment,joy
Break Who do you most enjoy being with Call them or send a note Make time to connect LJB,joy
Funny how Ive felt terrible most of the day but Ive been laughing twice as much  ,joy
 No  what  ,neutral
If u cant find in a bowl of icecream u wont find it in an unopened half gallon EnjoyWhatYouHave,joy
The station was crowded and he was horribly ashamed of his nakedness  but all his clothes were on the train  ,shame
 I have been looking forward to this performance all month  ,sadness
I made a quotHighlanderquot reference last night about how there can be only one black guy at the party Only ONE person got it ,sadness
My friend had been telling me about a certain bird which when it cries at night its the sign that someone will die So one night I was alone in the house and I heard the cry of the bird and I was afraid,fear
Dont let rob you of what tomorrow could be pushnsoar havecourage bestrong,fear
So excited to party party tomorrow night with one of my besties miss Emma Rose  xxxx ,joy
There was this documentary on about john steinbeck I think now is the right time to watch it  a few helpful tips for   ,joy
Valkyrie climbed under the covers and curled up behind my knees the moment I slid into bed Yay kitty warmth ,joy
Let go of or you will just end up a grumpy old person And noone wants to be around that cuz old people already stink,anger
I honestly spent wayyy too much money Im such an impulse buyer,sadness
Heard some ghostlike noise at night,fear
Thought had discovered true love,joy
Somebody told her friend that she would hit me wherever we would meet,fear
Actually learned something today in class ,surprise
 Yikes  you are joking  right  I cant believe it  No wonder he is so stressed and bossy lately  I thought he was just being ostentatious by giving orders to people and all the different departments  What big shoes to fill  ,anger
But straightway Jesus spake unto them saying  Be of good cheer  it is I be not afraid Matthew 1427 not,fear
Father forgive me for my and help me live boldly in Your truth GloryOfTheCross,fear
And so ends another marvelous day in paradise Everyday progressively better than the last ,disgust
Nothing beats getting a Christmas card from friends amp seeing that a pic u took of them is their Xmas card  2nd 1 inside photography,joy
 Even if I was seriously ill you couldnt spare a moment  ,anger
iBallLikeNike A woman worth some effort is certainly worth the effortI think Yu lookin for lol,anger
My uncle was taken to the UTC for an operation as he had cancer  There had been a lot of deaths of late  3 out of every 4 operated  I was scared for my uncles life,fear
the sounds my dad makes while he looks at my report card ,sadness
As he was rushed to hospital  his devastated daughter Suzanne went ahead with the service  not knowing if he would live or die  ,sadness
Christmas pictures today ,joy
Horrible mood about to be a horrible day ,joy
She regarded the wife of former Beirut hostage Jackie Mann as a  dear friend and was heartbroken she could not see her before she died of lung cancer on November 30  ,sadness
WaunakeeOrca swim meet today at MiddletonHS showthemwhosboss,joy
Penelope Huntley sat silent through this speech  chainsmoking  her eyes downcast  ,sadness
Night twitter family Sleeping in again then math final Which means no more math ever Then its anatomies turn to try and kill me ,joy
Just watched my Fair Queen daughter Kris smile as she was complimented by 25 Santa hat wearing kids saying quotQueen you rock it BIGquot ,joy
When they put the blame on me when I scored the third goal at the match,anger
Have to set my alarm 15 mins earlier to wake up and warm my car,sadness
She crammed more living into her 30 years than most people experience in two lifetimes  according to her heartbroken parents Ken and Diana  ,sadness
 Why  ,neutral
harry potter weekend is coming to an end ,sadness
Have a GREAT DAY tweeps Love yall and live w the of Christ today,joy
Feeling like a dope In Vegas most of my coworkers were also friends you know who you are Here I cant seem to make that happen ,sadness
 Of course  ,neutral
Like I wish I knew of moves tonight but it sounding uneventful in g town ,surprise
Naubusan kami ng slot sa 5k ng MILO MARATHON  ,sadness
Just got home from Simonslt33now time to go to sleep to prepare for a 4 hour practice ,joy
I dont feel good and I get to go babysit ,joy
The idea of their having a say in the running of a club appears to make officials recoil with horror  ,fear
When I first suffered from syphilis,sadness
 There wasnt really anything that I could do  Theres always been a lot of bad blood between my manager and myself  If I had said anything  he would have fired for me for sure  ,anger
Fuck all yall we ignore feelins here pre mature millionaire ,fear
 Right  ,neutral
Upon moving away from home for the first time to a different city I felt no longer under the wing of my parents even though they would always be there to help me I felt a sense of loss I was now all alone in the world responsible for my own actions,sadness
PaperInspire YEAH BUT I DONT HAVE CREDIT ,anger
I am about to throw my printer and computer against the wall donttryme iwillfightbothofyou,anger
dogs chasing balls and each other in the sunday park sunshinetots hopping about biking and feeding swansstage fright still hours off,joy
 Perhaps we need to have more babies  Tina gave birth to a baby boy yesterday  ,neutral
I walked up the main street of Auckland at 10 oclock at night I expected it to be very active with people gangs fast cars etc thought it was actually quite quiet though also oppressive I walked about half a mile and bought a drink along the way,fear
Had to register online with games workshop not sure if i unticked the quotsend me a newsletterquot box ,joy
How nice RT goenvani Smp rumah semi basah kuyup tawa lebar amp noam Telor ceplokbubur ketan hitam buatan nita,joy
bakedcamembert Ta for the vote of confidence It was absolutely fine today was even out 30 mins earlyForensic Bioscience tomorrow ,joy
quotTill He appeared and the soul felt its worth thrill of hope the weary soul rejoicesquot  itsonlythe10th NPoleAthBranch,joy
You should be excited for tonights staff meeting libbydavis15 Itll be nothing like anything youve ever experienced before ,surprise
WOW RT hartramsey Righteous never BLOWS UP or CLAMS UP It surveys the situation amp obeys GOD in spite of satanic aggravation,anger
This class is so boring omg I normally would say Im excited for the weekend but mine is going to consist of two papers and an exam ,joy
 Not at all  The feedback from audience has been great  I care about what they think more than what the critics think  ,neutral
Night tweeps Back to school ulit bukas If you think the worst is over wait for the exam results  Exams AHSJuniorsExams,fear
scubasteveo21 your right I belong in the kitchen Where I have access to knives And pans ,surprise
But his initial anger at finding the latest two victims of the insane killer s bloodlust  blazed into an allconsuming hatred of the man who had done it  ,anger
Anyone know who 2 artists are at radio city live,surprise
After listening to ghost stories with my classmates I had to back alone to the hostel at night  I had to walk through a long and quiet road and I was scared of meeting a ghost,fear
To misquote you  he is itinerant because he is miserable   ,sadness
Jai foutu le bordel dans la cuisine TeamSLNRS,surprise
Captain McArthur was a musical comedy aficionado  and not pleased when Mrs Kingswood spoke critically of the form  ,joy
I lost another button on my winter coat ,sadness
His mounting anger was making his speech more and more incomprehensible through his strokestiffened mouth  ,anger
Oh shit I cant solve the base ,anger
 is even wezen shoppen in  voor een stoute  cadeaus Wat een quotACTIONquot Nu nog een en een gedicht,surprise
Moving over the Christmas break ,joy
 I felt less nervous in the playoff against Faldo than I have here  ,fear
 Curse this oven  Curse it  ,anger
To the dismay of German suppliers  Mr Lopez is also eager to share this advice with foreign competitors  ,fear
KasheyyHD mattreeves10 I hate this class I hate school I hate Mr Pruitt Learn to talk Go kill yourself writing the truth,anger
One day my elder brother badly scolded my father  This was the first time that I heard such abusive language from my brother  I requested him humbly not to use this kind of language but he did not care for what I was saying  Finally I picked up an axe to use against him in the meanwhile people intervened,anger
ben nog even ver als net met ,surprise
 Okay  Ill sign you up  ,neutral
When a boy who was drunk insulted me in front of a crowd  I was stopped from punching him for it,anger
My mother carried on using mental pressure concerning something which was serious and a real burden to me,anger
Did Bean send these dirty jokes to you  too  Look  ,anger
 Maybe  Ill have to ask my mother  ,neutral
 Good  I will have hot chocolate  ,neutral
Wat zijn de kinderen en ouders druk geweest met de surprises Maar eerst maken we er een tentoonstelling van  Sint,surprise
 We can  t break into the line  Don  t be so impatient  We  ll be at the front of the line soon  ,neutral
It happened when I lost two very intimate friends in a car accident,sadness
Hello  ,neutral
My 21st birthday celebration when I cut the cake and received the presents,joy
I wish my avrilbandaids and twitter friends were in my real life  ,sadness
Hello  What are you reading about in the newspaper  ,joy
He seemed happy with this  ,joy
New bit of kit just turned up at work should I open it now or wait til I get home ,surprise
An incident occurred to me when I was going home with my girlfriend On the way a man named Banda grabbed my girlfriend in my presence I was really angry with him and as a result I threw stones at him and he ran away,anger
Today is so great Got to see 3 of my favorite kids amp got free starbucks And its not even 930 ,joy
Soooo much work to dohave not even left my room today ,sadness
 Poor girl  ,neutral
I was excited about going to calebs wrestling tournamentuntil they left me ,anger
 Nobody told me that before  ,fear
Ang lungkot lang Alam mong may BV sayo andaming gawain tapos mukhang sad and makakarelate pa ako sa The Distance To Andromeda ,sadness
 The view from the hill is so beautiful and relaxing  There  s so sign of pollution  The village looks so peaceful  ,joy
Resting After getting fustrated at fight night champion so i Locked It off quick b4 losin it ,anger
I was angry with a person who behaved terribly at a ball offending her relatives,anger
Life is short live it  is rare grab it Anger is bad dump it is awful face it Memories are sweet cherish them,fear
When someone asks me to take over a case I dont go back and double check the work I trust they did it right Trust people ,surprise
caitclark youre not missing much hes just telling us how we are going to get cancer again ,surprise
Eu lendo um trecho de um artigo de terror aki e de repente surge no do alm mas da casa do vizinho um barulho de uma furadeira ,fear
Celia was mortified  yet  to her horror  she wanted to scream  ,shame
Ashers been begging for a Christmas tree since Halloween Husband says hes not buying one WTF ,anger
My lil sister got the worst attitude an quickest tempermanagement,anger
What do you need  ,neutral
And out of the dark woods came the black man  leading his horse on one arm  and on the other a tall grey hound with the saddest face I have ever seen on any creature  ,sadness
stuipeters unfortunately this weekend is a nogo as got sisters birthday The arsenal are looking like they are back on track ,fear
When your mother doesnt feel like your mom anymore Just a ghost like figure that you live with that gets mad at a single hello ,sadness
 Its us  ,neutral
RT follow unitednude and WIN one of the 5 special collector items that we are giving away to our Twitter friends RT WIN,surprise
I join the hon Gentleman in expressing our sorrow at that tragic loss  ,sadness
 I would very much enjoy taking a Psychology classBecause Im crazy  ,neutral
 3 days  ,neutral
 No  I didnt  ,sadness
Family Christmas pictures today  ,joy
Not unexpectedly  the residents of Chiswick became alarmed at the prospect  but the acquisition proceeded of the properties on the proposed route  ,fear
A relative whom I like very much left for the United States,sadness
aimielks no its not for u uve got the peanut butter one and kirstycah thanks for letting the world know what ive got my sister ,surprise
I now have to pencil in my eyebrows everyday theyre so white you cant even see them ,joy
 Oh  I always have difficulty in getting along with the staff  ,sadness
Twerk Team is trendingguess whenever lil girls aint getn pregnantthey Twerking SaySomethin,sadness
 You  ,anger
 Certainly  ,neutral
I never actually am alone I just always feel alone I think Im scared of what the future holds drake,fear
Bomb Im done my essay    finally,joy
But the STUC also voiced disquiet about the way last Monday s picketing was handled by police  and said it had secured a pledge that policing would now be  evenhanded   ,fear
When I thought that I had failed the examination,fear
Oh hey hollyfaye your giving me a ride tomorrow ,surprise
Lol RT RippDemUp So my wife is out at a quotfun partyquot this evening All I can think is please dont buy a strapon ,fear
Je nai jamais t aussi  la bourre pour crire une plaidoirie  marathondupalais,fear
LA bound in just a few short hours An early xmas gift for me and ROHOreilly would certainly be a big win at PWG  ,fear
Left alone in dark when young,fear
I thought Friday was like 2 days ago ,surprise
OKsometimes finding takes a lot of effort other times comes easily In this case I must use mindfulness to find peace  lifeisgood,joy
When I got the scholarship letter from Australia,joy
Tomorrow is going to be a long day ,sadness
Sir  I am writing to say how delighted I am with your magazine  ,joy
I was less than 10 years old when our neighbours dog chased me to the roof of a small shed and there seemed to be no hope of getting away from there,fear
Fallin asleep with tights on at someone elses house is so fun especially whn he cant find the top ofem ,joy
leahplowman the holiday tag lines make it look like we care about customers wedont,surprise
When a good friend of me told me one evening that she didnt want to live anymore,fear
MackenzE Day after tomorrow cause I have a basketball game in Fredricksburg Also not much of a anymore justsayin doe,surprise
by the time friday night comes around im ashamed to admit im basically too tired to have fun myprobz sleepiness,sadness
He had thus been forced to hide his ignorance  which ill became a bohemian poet  when the trial burst upon a horrified society  ,fear
The loss of a close relative who was ill with cancer,sadness
database upgrade  migration of prefixed tables ,joy
headache runny nose and a sore throat ,joy
UH OH GONNA VISIT MY BARBER BEEN WHAT MONTH AND A HALF NOT DOIN THE DEW ,surprise
I had been drinking with a pal and I later 1 o clock had a date  with my fiancee  We were going to a Spanish lesson and I was afraid that she would smell that I had been drinking,fear
Honestly RT mikaeladyke Thank you Monday for reminding me why I hate reading the news  mayhem,sadness
I should have given a test lesson to get a job I had no courage I didnt make the test,fear
The members of the branch were indignant that the government should have planted two spies among them  ,anger
When I was ditched by my girlfriend,sadness
quotYStrahovski 10 more shooting days on chuck  Its all so surreal quot ,sadness
Cmon   ran out of food on 5hr flight seats next to bathroom cue and row mate with a gurgling snore ,joy
crazysunnyme Awes dont be homesick hun ,sadness
Detention with MrsWilcox tomorrow ,joy
quotRevRunWisdom not afraid of tomorrow for I have seen yesterday and I love today lessquot,fear
My uncle isnt even messaging me and him missing in my life is kind of messing with me ,fear
Bro doesnt slow at sharp turns feels lik a roller coaster pray for me ,fear
What the fuck is wrong with you people ,disgust
WHY WILL NOONE TELL US WHAT THE BLOODY ENGLISH HOMEWORK MEANS ,anger
For the first time in 10 years I have a desk that my legs fit under beenlivinglikeaFrenchdwarf,joy
a fun filled weekend of studying the muscles of the lower leg ,joy
Am pretty sure the guy beside M  simply wokechanged his shirt and trouserstook his books and den headed down here,disgust
ahhh Spencer just made me so happy stop by my house on his way from practice back home kajshkajlhdskljhska LOVE HIM SO MUCH,surprise
Ive washed my ugly sweater a million times and I still cant seem to get out the thrift store smell ,joy
When I finally managed to get a specific sound from my guitar after baving tried for a long time,joy
ya en casa despues de una noche de jangueo maximo en la ahora a comer algo y a descansar que a las 2 hay que comer en casa de los iaios,joy
I had a really long talk today about what I believe in And why I do Im so proud to have a stance worth explaining and defending ,joy
Perhaps he was just imagining the undercurrent of nostalgia  he told himself as he looked at CoraBeth s flushed  excited face  ,joy
grandmas playing chirstmas music and it makes me want to punch things ,anger
Within the ranks of the music press  there seemed to be a genuine grief at the split and the band s loyal followers responded accordingly  filling the letter pages with tearful  doleful sentiment  ,sadness
The baby drank its bottle for a half an hour ,joy
Some people have no class or self respect its a shame ,disgust
You told me AshleyLewis227 was wrong when she said you fuck everyone over You lied fellforanotherduche,surprise
If I mention our separate sleeping arrangements to friends  they are horrified  ,fear
Ha speaking of the term quotwhat evquot you fighting with me is quotwhat evquot member Ill remember every word in those messages today ,joy
One evening a friend of mine was telling a fearful story nobody took it seriously but I got frightened,fear
annamartz4 nickpiett hahaha yes I am And I will be returning to satv next week Dont tell lee Its a ,surprise
with all the talk of REvolutions lately maybe we can start with some Evolution first too high of a concept    ,anger
fsoulabaille flopcb alicecoffin 50 d allies c est pas si mal Et les opposants sont pas tjrs ceux qu on croit  ,surprise
I am about to stick my head in a moving blender with BTrain06 in other words were about to write some legal crap ,joy
No one was more pleased about Dara s demise than Roshanara Begum  ,joy
I feel I end up crying tears of when I really stop and think about it,joy
 Why not  ,neutral
When my friends died one after the other  The first died in a car accident and the second one recently due to an illness,sadness
Teenage girls that have sex so young me,disgust
I was afraid when my first boyfriend threatened to make an end to our relationship because he didnt love me enough while I loved him very much,fear
 NoWhy  ,neutral
When armed robbers broke into our house at night,fear
About to decorate the Christmas Tree   ,joy
Solo yo olvido la memory card de mi camara ,sadness
TokunboAdegbuyi is being there alllllll weekend long Should just bring a pillow sleepoverinCameron,sadness
What a long painful days work Same again tomorrow ,joy
TheBodyShopUK a spa day with the girls involving lots of wine ,joy
The of tLORD is the beginning of Wisdom amp knowledge of t HolyOne is Understanding Proverbs 910,fear
Adam van Kouverden at Sinclair Ohh and Im doing sound freeday,surprise
I love getting graduation money six months late  ,surprise
i honestly dont believe i can think right now sick of reading questions but i gotta study for this marketing exam tomorrow ,joy
Should I ask Sara to the party  ,neutral
 I am sorry to say its not on the way  but during loading  The tins inside the cases were broken evidently through rough handling  ,anger
this girl has the kc computer lab smellin like straight tuna ,disgust
When my grandmother died I had a stronger relation to her than to my mother,sadness
The note said Imro was concerned there might be  similar undetected shenanigans  in other occupational pension schemes  ,fear
 bye  ,neutral
Never run away from your problem face them face to face cause so they will catch and never let goo RIP Jane Kane,fear
My new bus friend smells like soggy McDonalds fries and axe body spray Hes also an elbowy gent of roughly 300 pounds ,joy
Headache again todaybut it wont hold me downYelling in my quiet voice GOD is Great and his Grace and Mercy is everlasting ,joy
Lets give it another half an hour more  ,sadness
Kari Jobe CHRISTmas music on the way to the beach ,joy
taylormckay oh that is  well in that case ill wait to say it to u in person itll be a great ,surprise
Gah nooo I need a ds light charger asap  the battery is dying man there goes my educational fun ,sadness
Oh Mise a jour de linterface twitter sur  ,surprise
My afternoon consists of learning my lines for drama and finding all my school books for tomorrow ,joy
Operation Christmas Child ,joy
Ughh just remembered I have a drs appt tomorrow more followup tests from earlier this summer ,joy
I feel dreadful though not as dreadful as my married colleague who spent the evening rubbing the crotches of men in the office  ,fear
im bout too crush like shit mane  ,joy
At school a couple of years ago a socalled acquaintance told lies about me to a teacher I was told about it by friends who overheard the conversation,anger
CarynSpeaks o my hat you freaken kidding me Guess m not sleeping tonight ,joy
You know that scary realization you are not going to make it until your next paycheck Yeah that Payday is a painful 13 days away ,fear
DJGemmaFurbank Lucky girl My job is the epitome of dullness with the added extra of standing in the freezing cold brrrrrr,joy
kinda sad brunos leaving and we wont get home cooked meals errrdau ,sadness
She had been experiencing considerable feelings of grief about her husband and had been able to cry on occasions  ,sadness
 Oh  Jack  Thats wonderful  ,joy
when your favorite Harry Potter character doesnt RT you  TomFelton ,sadness
The time when someone let the air out of the tyres of my cycle,anger
Its times like these I wish we could vote every single member of congress out and start again  ,anger
When my grandmother died I had lived with her for ten years,sadness
 but I absolutely hate female bathrooms that smell like tangy coochies ,disgust
 sub in English and were reading a story about killing dinosaurs ,joy
Little Sis and her boyfriend are watching Bill and Ted but theyre also snuggling so Im not welcome ,sadness
This bitch at the mall today lmao ,disgust
Break If you could be totally pampered right now what would that feel like LJB,joy
feet are killing  hate standing all day  work ,sadness
He was a contented man for he had a good wife  a prosperous farm in Upper Caversham some four miles from Reading market  had had a good season and a financially successful day  ,joy
 are essential They are structural 2society Bring ampwealth Talk That Talk but also ACT ensure Govprivatepublic funds support,joy
I know the usual feeling of being wolf whistled is flattered But when its two old fat guys It feels more like a wave of ,disgust
dont join in a RT davidmossander Teacher who prohibit their students for competition is just SOAB   ,anger
Heartbroken Tim Godwin weeps as he tells how he had to tell his 23monthold daughter Sophie   Mummy isnt coming back   ,sadness
Unaskedfor update I have ordered new glasses and they will be ready in 12 weeks Until then just call me Blindy ,sadness
zackhuhn me miss the time we used to be franns and actually hang out  ,sadness
When I found my baby whipped by my Auntie I was really sad and up to this moment my sadness is still on,sadness
Homosexuality aroused revulsion in about a quarter of the respondents  another quarter seeing it as sick  odd or ridiculous  ,disgust
Ppl at wrk be slamming down their lunch so they can go smoke their nasty ass cigarettes  ,disgust
I  m so excited  mother  Oh  a new baby  ,joy
Bout to start makin sweet potato pies  ,joy
 I apologize  and Ill make sure he doesnt do that again  ,sadness
When I could not find my 2 year old daughter  I ran and looked for her everywhere and could not find her  I finally found her she had gone to bed to sleep,fear
I used to stutter a lot in those days  I was a very frightened boy  ,fear
How sad am I that Im sitting in the food court alone eating food from home ,sadness
Muziek opzetten en dan die tekening voor oma maken,surprise
Our maid is giving me a hard time She keeps flipping my comforter upside down every time I flip it around  mindblown,anger
Hearing about a friend back home that had to have his stomach pumped because he had overdosed on pills,sadness
The only bad part about this day is that I broke a string ,sadness
I missed an opportunity to go abroad because of some silly mistakes for which I had to suffer a lot,anger
Huddersfield lost at last Our friend will be delighted as her husband will now shave his terrible beard off now the unbeaten run ended ,joy
Walking home with a cappuccino amber and CourtneyLucey ,joy
 the shit out of every racist person on earth They  me,disgust
Will I get to 4OO by the end of the night   RT MY TWEETS FOR SHOUT Outs  HURRY lt3 muchlove,surprise
No  she s not vexed  ,anger
3rdculturekid markosborne04 earnestdjohnson troypayne sad thing is I was ready to say good job Knicks but not these Knicks fans ,disgust
I told my boy friend not to park in a certain place because the car would ger towed away  he didnt listen and it was towed away At that stage our finances were below the poverty line  it cost us 1000  all the money we had to get us through that week including rent,anger
Some ill children feel so angry  depressed  or anxious about their condition that they refuse to eat  ,fear
 Im sorry  but we usually dont do it  It is our policy  ,sadness
notMarcStaal Id offer to do a strip tease but my wife is currently hormonal and might kill me ,fear
After 10 days of hard work and having suffered many changes I passed my last exam,joy
I am surely not alone in feeling profoundly sad over the socalled reprieve of certain regiments in the British Army  ,sadness
People talking bad about hoes is bad enough but when a girl is postin about how bad she is on FB you know good and well she a hoe ,disgust
nobody to talk to on twitter today ,sadness
LaterAllieGator fear comes when you project scenarios into the future live here and abide in the unfolding present moment  ,fear
What should I be thankful for Only answer is Christ cuz he has given me everything  ,joy
 Ho  no  ,neutral
 I m gratified to find you so concerned for my welfare  Li Yuan  ,fear
quotyou are the light thats leading me to the place where I find peace againquot ,joy
Lost a friend,sadness
NicolaTurner9 really bad all across the screen  you will see tomorrow ,sadness
Be truly glad There is wonderful ahead I Peter 16 turnbacktogod jesustweeters,joy
First public speaking,joy
God You there I know I dont talk to you much but please watch over me todat especially when I get home   ,fear
you know what really gets me going ABessey13s love of speaking in Spanish and owl city ,anger
Nearly picked up the pot of chili to put on my toast instead of jam That would of been a nice ,surprise
Rise of the planet of the apes has my heart eternally  ,joy
When I met my new girlfriend with another man in the street,anger
dyondzaniKS Well Both are fine Im not though Khenso and I stayed up all night last night waiting for you to call ,sadness
After a 5 hour siesta Library ,joy
Waking up early to curl my hair ,joy
SNNNNOOOOOOWWWW IN BELLY   finally feels like christmas ,joy
beyonce and jay expecting twins got damn how famous are there kid gonna be whole time i hope they dnt even do music me,surprise
I hate the smell of bacon gtlt ,disgust
Came back from surfing to find car broken into and gear and money stolen,anger
Let that tough talk walk and watch how your run,fear
Sometime back my boyfriend and I were having a walk nearby my parents house Suddenly we met my grandfather and I was afraid that he would report to my parents,fear
Listening to Wiz Khalifa makes it feel like summer again ,sadness
By now Nutmeg was so bewildered that he did nt know what to do  ,surprise
Je ne vous ai pas dit CeliaRoot  vient chez moi ce weekend je vais faire une ptisserie un truc quelle aime ,surprise
Teacher is coming in an hour ,joy
My sister lost one of her twin sons my first nephews and then the older one died a week later,sadness
finally in bed amp I found my fave chapstick ,joy
Cheeky full English in a cheeky cafe with HazzObezz ,joy
I have to make up nine assignments by Friday I have terrible grades in all of my classes and Im going to fail all of my finals ,joy
We were driving at night and I realized that a car was following us,fear
stop playing basketball and become fat,fear
 Bye  ,neutral
gpurks Im stuck listening to shit old Essex fm ,joy
 I am afraid your diamond bracelet has gone  darling  ,fear
 You said the same thing three months ago  ,anger
When I failed my first exam at the Higher Institute,fear
I am joyfull to be alive every night,joy
The heart is a sponge for emotion Choose the right thing to soak up   patience,joy
My cousin put marbles under the sheets in my bed So there I am at 1230am pulling out marbles Thanks a bunch ass  ,surprise
ZohairZ for sure and theyve taken a nosedive since then kind of like EP after Irtiqa ,sadness
Look me in my eyes please dont be scared of me I remember you this feeling isnt you so please dont be scared of me ,fear
Iemand nog leuke tips voor  cadeau item Maximaal 20 euro,surprise
Babysitting a small child with a BIG attitude ,joy
Just brought my wife  at work Best feeling ever ,surprise
Julie s devastated husband Tim  32  was last night preparing to fly from their home in Northampton to identify his wife s body  ,sadness
That awkward moment when you have like six pairs of buckle jeans and cant find any of them Guess Im wearing yogas today ,joy
Im back  ,neutral
Every person is a new door to a dffrnt world,joy
HOW THE FUCK DID MOVES LIKE JAGGER FIND ITS WAY ON MY IPOD ANSWER ME ITUNES DAMMIT ,anger
knappalapalin ridiculous how much that tweet relates to my daily life ,sadness
Counting up all the money from mallin to misen looking pretty good D apparently theyre doing a big presentation ,joy
I came home from a long day of work to the sweetest thing ever  ,surprise
its almost the end of november and i still dont feel cold ,joy
AaronCurry51  tells us that weve sacrificed more than others tells us its time 2 worry about the future xAxALuke 93,fear
